word,Length,Arousal.M,Arousal.SD,Arousal.N,Valence.M,Valence.SD,Valence.N,Dominance.M,Dominance.SD,Dominance.N,Concreteness.M,Concreteness.SD,Concreteness.N,Imageability.M,Imageability.SD,Imageability.N,Familiarity.M,Familiarity.SD,Familiarity.N,AoA.M,AoA.SD,AoA.N,Size.M,Size.SD,Size.N,Gender.M,Gender.SD,Gender.N
ward (child),4,3.931,1.837,29,5.462,1.216,26,5.033,2.008,30,5.04,1.536,25,4.552,1.589,29,3.394,1.999,33,5.731,1.402,26,3.5,1.337,26,3.429,1.116,28
ward (hospital),4,3.471,2.004,34,4.206,1.762,34,3.147,1.574,34,6.382,1.029,34,6.438,0.864,32,5.394,1.413,33,4.206,1.301,34,5,1.518,33,3.424,1.045,33
warrant (justify),7,4.152,2.002,33,5.829,1.502,35,5.343,2.292,35,2.824,1.445,34,2.743,1.662,35,3.75,1.768,32,6.2,0.821,35,4.735,1.12,34,4.618,1.029,34
warrant (search),7,4.912,1.961,34,3.059,1.259,34,3.686,2.681,35,4.714,1.541,35,5.171,1.781,35,4.618,2.072,34,6.056,1.224,36,4.529,1.684,34,5.556,0.896,36
watch (look),5,4.486,1.933,35,5.118,1.022,34,5.286,1.185,35,4.147,1.611,34,4.147,1.717,34,6.455,0.856,33,2.2,0.95,35,3.529,1.289,34,3.794,1.079,34
watch (wrist),5,3.758,2.016,33,5.529,0.737,34,5.824,1.271,34,6.677,0.674,34,6.677,0.674,34,6.242,1.232,33,2.971,0.923,34,2.471,1.242,34,4.794,1.132,34
wave (gesture),4,4.818,2.139,33,6.455,1.018,33,6.2,1.704,35,5.429,1.249,35,6.265,0.98,34,6.294,0.925,34,2.059,1.162,34,3.088,1.522,34,3.485,0.989,33
wave (water),4,5.471,2.523,34,6.086,1.663,35,4.971,2.455,35,5.543,1.537,35,6.543,0.648,35,6.394,0.983,33,2.571,0.904,35,5.371,1.197,35,3.429,1.077,35
web (internet),3,5.912,2.267,34,6.429,1.644,35,5.818,2.354,33,5.2,1.802,35,5.257,1.903,35,6.606,1.099,33,4.941,1.327,34,5.5,2.004,34,4.686,0.919,35
web (spider),3,3.588,2.074,34,4.515,1.48,33,4.324,1.827,34,6.647,0.536,34,6.559,0.945,34,6,1.326,33,2.088,0.702,34,2.5,1.091,34,4.265,1.038,34
well (healthy),4,5.114,2.252,35,8.514,0.806,35,6.294,2.371,34,3.714,1.906,35,4.771,1.853,35,6.618,0.642,34,2.861,1.456,36,4.943,1.308,35,3.5,1.041,36
well (water),4,3.758,1.923,33,6.645,1.259,31,5.094,1.568,32,6.242,1.129,33,6.156,1.228,32,5.5,1.436,32,3.121,0.977,33,4.03,1.679,33,3.938,0.899,32
wind (breeze),4,4.829,2.21,35,5.265,1.093,34,5,1.393,34,4.914,1.991,35,4.914,1.697,35,6.371,0.831,35,2.343,0.924,35,4.314,1.982,35,3.6,0.991,35
wind (wrap around),4,3.765,2.073,34,5.294,1.151,34,5.563,2.164,32,4.677,1.387,34,4.314,1.879,35,5.059,1.814,34,3.914,1.713,35,3.382,1.112,34,3.697,1.193,33
wing (building),4,3.697,1.732,33,4.97,0.627,33,4.765,1.33,34,6.118,1.157,34,6.235,0.877,34,5,1.782,34,5.265,1.12,34,5.344,1.265,32,4.559,1.241,34
wing (improvise),4,5.824,2.162,34,5.706,1.446,34,5.813,2.053,32,2.618,1.476,34,3.226,1.773,31,4.188,1.828,32,5.686,1.09,35,4.235,1.059,34,4.529,1.169,34
wing (plane),4,4.313,1.991,32,5.182,0.796,33,4.636,1.72,33,6.636,0.643,33,6.594,0.655,32,5.813,1.57,32,3.118,1.051,34,5.097,1.633,31,4.273,1.188,33
wired (electric),5,5.2,2.412,35,5.242,1.232,33,4.657,1.492,35,4.943,1.453,35,4.677,1.622,34,5,1.758,33,4.543,1.317,35,3.382,1.284,34,4.909,0.866,33
wired (hyper),5,6.057,2.19,35,4.829,1.828,35,5.576,1.955,33,3.059,1.608,34,4.143,1.869,35,4.333,1.918,33,5.829,1.23,35,4.629,1.475,35,4.235,1.165,34
wood (forest),4,4.594,2.234,32,5.629,1.333,35,5.206,1.586,34,6.559,0.65,34,6.457,0.805,35,5.853,1.061,34,2.571,0.838,35,5.706,1.466,34,4.618,1.029,34
wood (lumber),4,3.265,1.82,34,5.143,0.899,35,5.314,1.26,35,6.647,0.636,34,6.429,0.767,35,5.829,1.276,35,2.914,1.381,35,4.057,1.62,35,5.486,1.025,35
wound (cut),5,5.206,1.952,34,2.857,1.046,35,3.743,1.81,35,6.086,0.906,35,6.371,0.831,35,5.912,1.197,34,3.529,1.5,34,3.314,1.817,35,4.543,0.996,35
wound (wrap around),5,4.152,2.148,33,4.441,1.09,34,4.265,1.754,34,4.531,1.436,32,4.853,1.665,34,5.029,1.404,34,4.606,1.516,33,3.656,1.314,32,3.697,1,33
yak (animal),3,3.742,2.14,31,5.448,0.968,29,5.214,1.448,28,6.483,1.276,29,5.767,1.407,30,3.059,1.781,34,4.903,1.748,31,3.379,1.865,29,4.5,0.806,30
yak (gab),3,3.704,1.921,27,4.267,1.263,30,5.407,1.063,27,3.741,1.554,27,3.308,1.635,26,3.029,2.079,34,5.107,1.611,28,3.154,1.657,26,3.192,1.302,26
yard (distance),4,3.371,1.79,35,5.029,0.377,35,4.571,1.42,35,5.171,1.978,35,4.559,1.834,34,4.486,1.697,35,4.943,0.984,35,3.559,1.538,34,4.771,1.044,35
yard (lawn),4,3.314,1.982,35,5.457,0.805,35,5.114,1.72,35,6.371,0.897,35,6.2,1.09,35,4.086,1.962,35,3.486,1.381,35,4.5,1.649,34,4.429,1.103,35
yarn (fabric),4,2.771,1.569,35,5,0.686,34,4.971,1.207,35,6.114,1.326,35,5.629,1.396,35,3.257,1.73,35,4.8,1.41,35,2.543,1.38,35,2.857,1.099,35
yarn (tale),4,4.091,2.193,33,5.529,0.977,34,4.818,1.66,33,3.294,1.741,34,2.559,1.006,34,2.879,1.935,33,5.485,1.52,33,3.824,1.689,34,3.636,1.344,33
